question_1,question_2
Bisakah Anda memberikan informasi tentang magang pertanian?,Bisakah Anda memberikan informasi mengenai magang pertanian?
Belajar alat / teknologi mana yang akan mendapatkan pekerjaan sebagai analis data?,Bagaimana cara saya mendapatkan pekerjaan sebagai analis data dan apa yang harus kita pelajari?
Apa yang membantu Anda melewati tes met?,Bisakah Anda lulus tes urin untuk shabu dengan Suragel?
Seberapa dini kita akan memikul Trump Presiden?,Bagaimana kita bisa memaksakan Donald Trump?
Apa lauk yang bagus untuk filet mignon?,Apa piring sisi terbaik untuk dimakan bersama filet mignon?
Apa perbedaan antara Transexual dan Transgender?,Apa perbedaan antara transgender dan orang Transexual?
Akankah Clinton atau Trump menjadi presiden AS berikutnya?,Siapa yang akan menjadi presiden AS berikutnya 2016?
Apa saja kursus pemasaran digital terbaik untuk manajer pemasaran tingkat menengah senior?,Apa saja kursus singkat online terbaik dalam pemasaran digital?
Apa satu hal yang Anda inginkan dalam hidup Anda?,Apa satu hal yang Anda inginkan dari kehidupan?
Mengapa hidup begitu tidak adil dan tidak adil?,Mengapa hidup begitu tidak adil?
Mengapa orang mengatakan Dhanush (Aktor India Selatan) jelek? Saya kira tidak.,Mengapa orang mengatakan Dhanush (Aktor India Selatan) jelek? Saya kira tidak?
Bagaimana uang hitam diikatkan dengan larangan 1000 Rupee Notes dan memperkenalkan uang kertas baru 500 dan 2000?,akan melarang catatan denominasi 500 dan 1000 membantu mengekang uang hitam dalam sistem?
Bagaimana Anda bisa tahu jika seseorang berbohong kepada Anda?,Bagaimana saya dapat menemukan bahwa seseorang berbohong?
Adakah yang ingin tahu tahu bagaimana Anda bisa menghasilkan tambahan $ 1000 sebulan?,Bagaimana saya bisa menghasilkan tambahan $ 2000 bulan ini?
Mengapa orang-orang dari seluruh Afrika datang ke Eropa dan bukan hanya pengungsi dari Suriah?,Mengapa begitu banyak orang bermigrasi dari Afrika terutama Libya ke negara-negara Eropa dan apa reaksi Eropa mengenai migrasi ini?
Mengapa media terus-menerus mendistorsi Donald Trump sebagai orang jahat?,"Mengapa media begitu bias, Agianst Donald Trump?"
Saya kehilangan slip resep saya untuk Norco 10-325 sebelum mengisi apa yang bisa saya lakukan?,Apa yang harus saya lakukan jika saya kehilangan slip resep saya?
Apa situs kencan Internet yang aman?,Situs kencan yang aman untuk dilanjutkan?
Bagaimana Anda mengatasi tempat kerja politik?,Bagaimana Anda mengatasi politik di tempat kerja?
Bagaimana orang Amerika membangun kewarganegaraan ganda?,Apakah Amerika Serikat mengizinkan kewarganegaraan ganda?
Telepon mana yang harus saya beli di bawah 15rb?,Apa ponsel terbaik untuk membeli di bawah 15rb?
Bisakah sidik jari dari dua orang yang berbeda sama? Jika tidak maka mengapa?,Bisakah dua orang yang berbeda dari berbagai negara dengan budaya yang berbeda memiliki sidik jari atau DNA yang sama?
Di mana di dunia adalah tempat paling maju secara teknologi?,Apa kota paling maju secara teknologi di dunia?
Bagaimana saya menghabiskan liburan musim dingin saya?,Bagaimana saya harus menghabiskan liburan musim dingin saya?
Bagaimana saya memulai bisnis baru?,Bagaimana Anda memulai bisnis?
Mengapa wanita memakai bra?,Kapan anak perempuan memakai bra?
Apakah teh hijau benar-benar mengurangi berat badan?,Bagaimana Teh Hijau Berguna Untuk Mengurangi Lemak?
"Apa efek utama dari gempa Kamboja, dan bagaimana efek ini dibandingkan dengan gempa Tohoku pada tahun 2011?","Apa efek utama dari gempa bumi Kamboja, dan bagaimana efek ini dibandingkan dengan gempa bumi laut Banda pada tahun 1938?"
Apakah ada bukti bahwa kehidupan alien ada?,Apakah ada bukti kehidupan alien di ruang angkasa?
Bagaimana perampok membuat peta?,Bagaimana perampok membuat peta? Apakah Sihir Gelap Terlibat?
Apakah ada kemungkinan untuk meningkatkan ketinggian setelah 21?,Apakah saya akan lebih tinggi bahkan setelah 21?
Apakah mungkin untuk mengubah warna mata secara alami?,Dapatkah subliminal Audio mengubah warna mata?
Benarkah ada kehidupan setelah kematian?,Apa kehidupan setelah kematian.?
Antara Trump dan Clinton yang akan memenangkan pemilihan presiden AS?,"Semua bias selain, pada titik waktu ini, siapa yang menurut Anda akan memenangkan pemilihan presiden?"
Apakah kita masih memiliki email tanpa netralitas bersih?,Akankah ada email tanpa netralitas bersih?
Apa rahasia menjaga hubungan jarak jauh yang sukses?,Bisakah Anda membantu saya dengan tips untuk hubungan jarak jauh yang sukses?
Mana yang mana film favorit Anda?,Apa film rekomendasi?
Saya ingin menjual produk saya di Amazon?,Saya ingin menjual produk saya di Amazon. Bagaimana harus saya lakukan itu?
Yang merupakan situs terbaik untuk mengunduh film?,situs terbaik mana yang akan mengunduh film?
"Apa efek utama dari gempa Kamboja, dan bagaimana efek ini dibandingkan dengan gempa bumi Somatra pada 2007?","Apa efek utama dari gempa bumi Kamboja, dan bagaimana efeknya dibandingkan dengan gempa bumi Concepsion pada tahun 1835?"
Mengapa orang mengajukan pertanyaan tentang Quora yang dapat dengan mudah dijawab oleh Google?,Mengapa orang mengajukan pertanyaan Quora yang dapat dijawab dengan mudah oleh Google?
Apa pendapat orang Cina tentang Donald Trump sebagai pemimpin?,Apa yang dipikirkan orang Cina tentang Donald Trump?
Mengapa orang percaya Hillary Clinton tidak jujur?,Mengapa Hillary Clinton seorang pembohong patologis?
Yang merupakan hotel warisan terbaik di Ranikhet?,Apa saja Hotel Heritage Terbaik di Ranikhet?
Bagaimana cara menghapus profil saya dari situs web Naukri?,Bagaimana Anda dapat menghapus akun Naukri secara permanen?
Apa hal terbaik yang pernah dilakukan seseorang untuk Anda?,Apa hal terbaik yang dilakukan seseorang untuk Anda?
Apa mobil kecil terbaik di India?,yang merupakan mobil kecil terbaik di India?
Apakah alam semesta memiliki batas ekspansi?,Apakah ada batasan untuk ekspansi alam semesta?
Mengapa Cyrus Mistry Dipindahkan Dari Kepemainan Tata Sons?,Mengapa anak-anak TATA memecat Cyrus Mistry?
Bagaimana orang mendapatkan mimpi saat tidur?,Mengapa mimpi terjadi saat tidur?
Bagaimana saya harus menghindari penundaan?,Apa cara terbaik untuk membunuh penundaan?
Bagaimana bisa menyembuhkan traksi alopecia?,Bagaimana saya bisa menyembuhkan traksi saya alopecia?
Bagaimana saya bisa meningkatkan pengucapan bahasa Inggris saya?,Bagaimana saya bisa meningkatkan keterampilan berbahasa Inggris?
Daniel EK: Mengapa Spotify tidak tersedia di India secara gratis?,Daniel EK: Ketika kita berharap Spotify di India?
Apa suplemen alami terbaik untuk kecemasan?,Apa makanan terbaik atau suplemen alami untuk kecemasan?
Bagaimana saya menurunkan berat badan di paha dan pantat saya?,Bagaimana saya bisa menurunkan berat badan di paha batin saya atau paha saya secara umum?
Bagaimana larangan pada 500 dan 1000 Rupee Notes membantu mengidentifikasi uang hitam dan korupsi?,Bagaimana akan mengeluarkan catatan baru 2000 RS membantu mengekang uang hitam dan korupsi?
Apa saja cara untuk mencapai tujuan Anda?,Bagaimana Anda mencapai tujuan Anda?
Bagaimana kita bisa mendapatkan uang secara online di India?,Apa cara termudah untuk menghasilkan uang dari online?
Bisakah kita melakukan perjalanan waktu?,Perjalanan waktu Apakah mungkin?
Bagaimana saya bisa memulihkan akun Facebook saya?,Bagaimana memulihkan akun Facebook saya?
Bagaimana kita bisa membuat semua orang dalam keluarga kita bahagia?,Bagaimana saya bisa menjaga keluarga saya bahagia?
Bagaimana saya menjadi sukses dalam hidup saya?,Mohon beri tahu saya apa yang saya lakukan untuk kehidupan saya yang sukses?
Apa saja gejala sensor kontrol udara idle yang buruk?,Apa tanda-tanda bahwa Anda memiliki katup kontrol udara idle yang buruk?
Apakah Perdagangan Forex Legal di India?,adalah perdagangan forex yang valid dan legal di India?
Bagaimana waktu menyembuhkan segalanya?,Bagaimana waktu sembuh?
Seberapa penting pemrograman kompetitif untuk pembelajaran mesin?,Seberapa bergunakah pemrograman kompetitif untuk insinyur pembelajaran mesin?
Bisakah Anda laminasi kartu jaminan sosial?,Bisakah saya melaminasi kartu jaminan sosial saya?
Apakah Perang Dunia 3 datang?,Seberapa cepat Perang Dunia III?
Apa bintang terjauh yang bisa kita lihat dengan mata telanjang?,Apa objek terjauh dari Bumi yang terlihat dengan mata telanjang?
Seberapa tinggi nyamuk bisa terbang?,Seberapa tinggi nyamuk bisa terbang?
Seperti apa pengalaman mendekati kematian?,Bagaimana rasanya memiliki pengalaman kematian dekat?
Bagaimana pesawat terbang?,Bagaimana pesawat terbang terbang?
Apa yang mengingatkan Anda bahwa Anda tidak muda lagi?,Kapan Anda menyadari bahwa Anda bukan anak kecil lagi?
Apa hak manusia?,Apa hak asasi manusia?
Mengapa para pejuang ISIS menutupi wajah mereka?,"Ekstremis Islam seperti ISIS percaya begitu intens dalam penyebabnya, mengapa mereka sering menutup wajah mereka? Bukankah mereka ingin menunjukkan kesetiaan mereka?"
Bagaimana saya belajar secara efisien?,Bagaimana saya bisa belajar lebih keras?
Apakah profesi medis mengetahui obat kanker?,Apakah ada obat untuk kanker?
Apa yang dikatakan tentang AS untuk memilih seseorang seperti Trump sebagai presiden mereka?,Apa yang dikatakan tentang Amerika jika Trump terpilih sebagai presiden?
Apa film horor favorit Anda?,Apa 10 film horor favorit Anda?
Apa semua buku terbaik di Tamil untuk dibaca?,Apa saja buku-buku Tamil terbaik untuk dibaca yang dipikirkan dengan pemikiran?
Apa perbedaan antara pengecualian dan kesalahan di Jawa?,"Apa perbedaan antara ""Kesalahan"" dan ""Pengecualian"" di Jawa?"
Mengapa dan bagaimana Amerika Serikat terlibat dengan perselisihan Laut Cina Selatan?,Mengapa ekspansi Cina di Laut Cina Selatan menjadi masalah keamanan nasional A.S.?
Apa hal-hal yang membuat India sedih?,Hal-hal yang membuat orang India sedih?
Apa artinya ketika Anda terus memikirkan seseorang?,Dosis apa artinya ketika Anda berpikir tentang seseorang secara konstan?
Apa cara terbaik untuk mendapatkan kulit yang adil?,Bagaimana saya bisa mendapatkan kulit yang adil?
Bagaimana nilai π (Pi) sebenarnya dihitung?,Bagaimana nilai [Matematika] \ PI [/ matematika] dihitung?
Bisakah Donald Trump benar-benar menjadi presiden kita?,Apa peluang bahwa Donald Trump akan menjadi presiden AS berikutnya?
Apa cara terbaik yang pernah Anda lihat seorang guru memberantas intimidasi di kelas mereka?,Pernahkah Anda melihat guru sepenuhnya memiliki pengganggu kelas?
Bagaimana saya memberi tahu seorang gadis bahwa saya menyukainya?,Apa cara terbaik untuk memberi tahu seorang gadis bahwa Anda benar-benar menyukainya?
Berapa banyak kalori yang harus Anda bakar dalam sehari?,Berapa banyak kalori yang saya bakar setiap hari?
Apa contoh sistem informasi?,Apa itu sistem informasi dan apa beberapa contohnya?
Apa arti dari DNA?,Apa bentuk penuh DNA?
Bagaimana cara saya menggunakan reddit secara efisien?,Bagaimana saya bisa menggunakan reddit secara efisien?
Apakah mungkin untuk mencintai lebih dari satu orang sekaligus?,Mungkin jatuh cinta dengan 2 orang pada saat yang sama?
Bagaimana saya bisa keluar dari zona nyaman saya dan jadilah diri saya pada saat yang sama?,Bagaimana saya keluar dari zona nyaman saya?
"Mengapa orang tidak memberikan jawaban mereka sendiri, tetapi sebaliknya membuat komentar pada jawaban orang lain?",Mengapa orang di Quora menulis jawaban mereka dalam komentar pertanyaan orang lain?
Apa alasan utama di balik pemisahan India dan Pakistan?,Apa alasan di balik pemisahan India dan Pakistan?
Berapa lama tes untuk menjadi tukang las bersertifikat?,Berapa lama tes kualifikasi untuk menjadi tukang las bersertifikat?
Apa perbedaan antara seorang siswa dan sarjana?,Apa perbedaan antara siswa dan sarjana?
Di mana saya bisa mendapatkan layanan pembersihan pusat perbelanjaan di Sydney?,Perusahaan pembersih mana yang menyediakan layanan pembersihan pusat perbelanjaan di Sydney?
Apakah orang-orang Kashmir ingin bergabung dengan Pakistan atau India? Mengapa?,Mengapa orang-orang Kashmir ingin bergabung dengan Pakistan? Apakah mereka bahkan menyadari kondisi di sana?
Bagaimana saya bisa pergi ke Google Summer of Code?,Bagaimana harus saya persiapkan sejak tahun pertama untuk memecahkan Google Summer of Code?
Bagaimana cara membangun komputer desktop yang dibuat khusus?,Bagaimana seseorang membangun komputer gamingnya sendiri?
Mengapa orang mengajukan pertanyaan tentang Quora yang dapat dengan mudah dijawab oleh Google?,Mengapa orang mengajukan pertanyaan bodoh di Quora yang dapat dengan mudah dijawab oleh Google?
Bisakah seseorang jatuh cinta dengan dua orang pada saat yang bersamaan?,Apakah mungkin untuk mencintai lebih dari satu orang sekaligus?
Bagaimana saya bisa mengontrol kemarahan saya?,Bagaimana kita bisa mengendalikan kemarahan?
Apa perilaku paling parah yang Anda saksikan / lakukan?,Apa tindakan paling parah yang pernah Anda saksikan?
Bisakah saya menemukan cinta sejati?,Akankah saya menemukan cinta?
Apakah seks selalu terluka pertama kali?,Bagaimana Anda bisa mengurangi rasa sakit seks pertama kali?
"Pada usia berapa Anda memikirkan seseorang sebagai ""tua""?","Pada usia berapa Anda mulai memikirkan seseorang sebagai ""tua"" atau ""lansia""?"
Siapa manusia yang paling terkenal?,Siapa yang paling terkenal yang pernah hidup?
Apakah perusahaan semen adalah perusahaan teknik mekanik inti?,Apakah perusahaan semen perusahaan teknik mekanik inti?
Bahasa apa yang harus saya pelajari jika saya ingin bekerja untuk Google?,Bahasa pemrograman apa yang harus saya pelajari jika saya ingin bekerja di Google?
Mengapa orang di Quora membenci Trump begitu banyak?,Mengapa Quora membenci Donald J Trump?
Modi apa yang akan dilakukan setelah dilarang 500 dan 100?,Apa yang akan terjadi selanjutnya dari PM MODI setelah demonetisasi?
Apa cara menurunkan berat badan?,Bagaimana saya bisa menurunkan berat badan secara efisien?
Apa URL itu?,Apa itu URL?
Mengapa ada begitu banyak pertanyaan tentang Donald Trump di Quora?,Donald Trump: Mengapa ada begitu banyak pertanyaan tentang Donald Trump di Quora?
Betapa bermanfaatnya pseudoephedrine ketika Anda memiliki pilek?,Sudafed atau Pseudoephedrine generik baik untuk hidung berair?
Apa saja contoh praktis yang menunjukkan keberadaan karma?,Apa saja contoh kehidupan nyata dari karma?
Mengapa Anda ingin menjadi dokter?,"Apa jawaban terbaik untuk pertanyaan ""Mengapa Anda ingin menjadi dokter""?"
Mana makanan terbaik untuk menambah berat badan?,Apa diet terbaik untuk menambah berat badan?
"Apa yang harus kita pelajari dari film ""Dear Zindagi""?","Apa yang bisa kita pelajari dari film ""Dear Zindag""?"
Apa manfaat yang terkenal?,Apa manfaatnya menjadi terkenal?
Bagaimana saya tetap termotivasi untuk mencapai tujuan saya?,Bagaimana saya bisa tetap termotivasi ketika saya mencapai tujuan saya?
Mengapa Donald Trump menyebabkan perang?,akan Donald Trump menyebabkan WW3?
Seberapa berbahaya jika seekor anjing memakan cokelat? Apa yang harus dilakukan?,Apa yang harus saya lakukan jika seekor anjing memakan cokelat?
Di mana saya bisa mendapatkan layanan pewarnaan foto ramah untuk pesta pernikahan di Sydney?,Di mana saya bisa mendapatkan layanan booth foto untuk pernikahan di Sydney?
Bagaimana tepatnya melarang Rs 500 dan Rs 1000 catatan mengekang masalah uang hitam?,Mengganti 500 dan 1000 catatan - Bagaimana langkah ini akan mengurangi uang hitam?
Apa saja pengalaman terburuk yang pernah Anda miliki dengan bos Anda?,Apa pengalaman terburuk Anda dengan bos Anda?
Bagaimana kita bisa mempersiapkan wawancara?,Bagaimana saya bisa mempersiapkan wawancara?
Apa solusi untuk menyingkirkan lemak perut?,Apa beberapa rencana latihan untuk kehilangan lemak perut?
Apakah Anda percaya Donald Trump dapat membuat Amerika hebat lagi?,akan Donald Trump sebenarnya membuat Amerika hebat lagi?
Mengapa orang mengajukan pertanyaan seperti itu di sini di Quora yang dapat dengan mudah ditemukan di Internet?,Mengapa orang menggunakan Quora ketika mereka dapat dengan mudah menemukan jawaban dalam pencarian Google cepat?
Apa tindakan pencegahan keselamatan dalam menangani senapan yang diusulkan oleh NRA di Vermont?,Apa tindakan pencegahan keamanan pada penanganan senapan?
Makanan yang sama apa yang harus saya makan setiap hari untuk melindungi kesehatan saya?,"Apa itu diet sehat murah, saya bisa tetap sama dan makan setiap hari?"
Bisakah orang teleport secara acak?,dapatkah orang secara spontan teleport?
Berapa banyak kebutuhan untuk membayar iklan TV di India?,"Berapa biaya iklan TV 10 detik di India? Juga berapa banyak perusahaan yang mau dibelanjakan untuk menargetkan satu penonton? Saya hanya perlu biaya udara, bukan produksi."
Apa perbedaan terbesar antara budaya Cina dan Barat?,Apa perbedaan antara budaya Barat dan budaya Cina?
Apakah 299 skor GRE yang cukup bagus?,adalah 290 di GRE skor yang bagus?
Apa karakter Disney favorit Anda?,Siapa karakter Disney favorit Anda?
Apa saja buku-buku bagus untuk dibaca jika seseorang tertarik pada psikologi dan fungsi pikiran manusia?,"Apa buku-buku terbaik untuk dibaca tentang psikologi manusia, faktor-fakta yang berfungsi, dan menarik terkait dengan pikiran manusia?"
Buku mana yang terbaik untuk pemula untuk belajar Python 3?,Apa buku yang direkomendasikan untuk belajar Python untuk pemula?
Apa yang baru di Jawa 8?,Apa saja fitur baru yang akan ada di Jawa 8?
"Apa yang Anda lihat, pro, kontra pada larangan 500 dan 1000 catatan oleh pemerintah?",Apa pendapat Anda tentang larangan Rs. 500 dan Rs. 1000 catatan mata uang?
Apa kelebihan dan kekurangan larangan 500 dan 1000 rupee di India?,Apa manfaat melarang 500 dan 1000 rupee di India?
Kapan MacBook Pro baru dikabarkan akan dirilis?,Kapan Apple MacBook Pro baru datang? Pada tahun 2016?
Apa beberapa hotel yang bagus di Varanasi dekat Ghats?,Apa saja hotel terbaik di Varanasi India?
Benarkah AS itu mendanai ISIS?,Apakah benar bahwa kita mendukung ISIS?
Mengapa India memiliki populasi yang besar?,Bagaimana India berakhir dengan populasi yang sangat besar?
"Apa asal usul tradisi ""No Shave November""?",Apa asal usul No Shave November?
"Jika Hitler memenangkan WWII, seperti apa dunia dan terlihat seperti hari ini?","Jika Hitler memenangkan Perang Dunia II, dunia seperti apa yang akan ada saat ini?"
Apa akhir dari dunia ini?,akankah dunia berakhir hari ini?
Bagaimana saya bisa memulihkan akun Google saya.?,Saya kehilangan informasi akun Google saya. Bagaimana saya bisa memulihkannya?
Apa yang Anda buat dari Tweet Kapil Sharma ke Narendra Modi mengeluh korupsi di BMC?,Apa pendapat Anda tentang Comedian Kapil Sharma's Bribe Row melawan BMC?
Bagaimana Anda melatih Campuran Terrier Putih Jack Russell / Barat?,Bagaimana cara melatih pitbull putih?
Apa tema WordPress gratis terbaik untuk blogger?,Apa saja tema WordPress gratis terbaik untuk blog?
Bagaimana bisa masuk ke MIT?,Bagaimana saya bisa dipilih di MIT?
Bagaimana saya bisa mengatasi insting kelangsungan hidup saya?,Bagaimana saya bisa mengatasi naluri bertahan hidup saya?
Apa saja situs web yang berguna untuk siswa teknik mesin?,Apa situs web terbaik untuk mempelajari teknik mesin?
Bagaimana cara memulihkan kata sandi untuk kata sandi Gmail tanpa pertanyaan keamanan?,Bagaimana saya memulihkan Gmail saya jika saya lupa kata sandi saya dan saya kehilangan pemulihan telepon saya?
Bagaimana reproduksi aseksual dalam Hydra dijelaskan?,Bagaimana reproduksi aseksual Hydra dijelaskan?
Sedang mengisi telepon baru selama 8 jam fakta atau mitos?,Apa rasional pengisian telepon / baterai baru selama setidaknya 8 jam?
Bagaimana cara mengunggah gambar profil saya di Quora?,Bagaimana Anda menambahkan gambar profil di Quora?
Apa saja sisi gelap Angkatan Darat India?,Apa saja rahasia kotor / negatif dari tentara India yang tidak diketahui?
Adakah yang akan berkencan dengan seorang pelacur?,Bisakah seorang pria berkencan dengan seorang pelacur?
Bagaimana saya bisa meningkatkan keterampilan komunikasi saya?,Bagaimana kita meningkatkan keterampilan komunikasi kita?
Apa yang paling Anda iri tentang orang lain?,Apa yang kamu iri dengan orang lain?
Apa cara terbaik untuk menghindari kanker?,Bagaimana saya bisa mencegah kanker?
